</ doc>  |||  ﻿</doc> .
Cromwell gab der jüdischen Gemeinde offizielle Registrierung und alle Rechte .  |||  קראמוועל האט געגעבן די יידישע געמיינדע אפיציעלע אנארקענונג און אלע רעכטן .
Die interne Korruption zwischen der Monarchie und dem Parlament hat einen Krieg ausgelöst und das Parlament hat die Führung mit Ellen Cromwell als Premierminister übernommen .  |||  די אינערליכע געפעכטן צווישן די מאנארכיע און די פארלאמענט האט אויפגעפלאמט צו א קריג און די פארלאמענט האט איבערגענומען דאס פירערשאפט מיט אליווער קראמוועל אלס פרעמיער מיניסטער .
Es ist lange Zeit nicht bekannt, dass ein Jude in Großbritannien lebte, bis vor dreihundert Jahren massive jüdische Familien nach Großbritannien, Spanien und Portugal zogen .  |||  פאר א לאנגער צייט ווייסט מען נישט פון קיין שום ייד וואס האט געוואוינט אין בריטאניע ביז פאר בערך דריי הונדערט יאר צוריק ווען מאסן יידישע פאמיליעס האבן זיך אריבערגעצויגן קיין בריטאניע פון פראנקרייך, שפאניע, און פארטוגאל .
Mehrere eklatante Blutopfer wurden den Bewohnern der jüdischen Bevölkerung bis 290 gegeben, als der König von Wales als erster die gesamte jüdische Bevölkerung eroberte und vertrieb .  |||  מערערע אומפארצייכנטע בלוט בלבולים זענען ארויפגעלייגט געווארן אויף די יידישע איינוואוינער ביז אין 290' ווען דער דעמאלטדיגער קעניג עדווערד דער ערשטער האט זיך געלאזט איבעררעדן און פארטריבן די גאנצע יידישע באפעלקערונג .
Im Laufe von zweihundert Jahren ist die jüdische Bevölkerung auf nicht mehr als 4 .000 angewachsen .  |||  אין משך פון צוויי הונדערט יאר איז די יידישע באפעלקערונג געוואקסן צו נישט מער ווי 4,000 .
Diese kleinen Juden vermehrten sich nicht mehr und hatten Schwierigkeiten mit ihren Nachbarn, die sie nicht erkennen wollten und nicht wollten, dass sie leiden .  |||  דאס ביסל יידן האבן זיך נישט שטארק געמערט און האבן געהאט שוועריקייטן מיט זייערע שכנים וועלכע האבן זיי נישט געוואלט אנארקענען און האבן זיי אויסגעטיילט נישט ווייניג צרות .
Großbritanniens erste Juden kamen bereits im Jahr 006 aus Nordfrankreich, nachdem Frankreich eine Reihe neuer Polizeipolitiken übernommen hatte und viele Geschäftsentscheidungen unter den Zehntausenden von Juden getroffen hatte, um England zum Ausbau seiner Geschäfte und damit zu bewegen Erweitern Sie den Handel zwischen England und Frankreich .  |||  בריטאניעס ערשטע יידן זענען געקומען פון צפון פראנקרייך אזוי פרי ווי אין 006' נאכדעם וואס פראנקרייך האט אונטערגענומען עטליכע נייע האנדל פאליסיס און האט געשטופט א סך רייכע ביזנעס לייט, צווישן דעם צענדליגער יידן, זיי זאלן זיך אריבערציען קיין ענגלאנד צו אויסברייטערן זייערע ביזנעסער און אזוי ארום פארברייטערן דאס האנדל צווישן ענגלאנד און פראנקרייך .
Der Royal Airflow hat jederzeit 100 Flugzeuge und 40 Hubschrauber für die Operationen der NATO .  |||  דער קעניגלעכער לופטפלאט האט גרייט 100 פליגער און 40 העליקאפטערס צו יעדע צייט פאר נאטא'ס אפעראציעס .
Zwei oder mehr Einheiten einer bestimmten Art von Flieger werden Geschwader genannt .  |||  צוויי אדער מער יוניטס פון א געוויסע סארט פליגער ווערט אנגערופן א סקוואדראן) .
Das königliche Flugzeug beherbergt jetzt 40 Quadrate (eine Gesamtzahl von Ausrüstungen .  |||  דער קעניגלעכער לופטפלאט פארמאגט היינט 40 סקוואדראנס (א צונאמען פאר עיר פארס יוניטס .
Später nahm die königliche Luftwaffe am Wahlkampf gegen Deutschland teil, wobei sie den Großteil ihrer formellen Mittel verwendete .  |||  שפעטער האט דער קעניגלעכער לופטפלאט אנטייל גענומען אין די אליאירטע קאאליציע קעגן דייטשלאנד, נוצנדיג רוב פון איר עיר פארס פלאטע .
Dank dieser erfolgreichen Aktionen konnte sich die britische Armee von Nazi-Deutschland von ihrer Invasion zurückziehen .  |||  א דאנק יענע געלונגענע אקציעס האט די בריטישע ארמיי געקענט צוריקהאלטן נאצי-דייטשלאנד פון איר אינוואדירן .
Im Allgemeinen erwähnte die königliche Luftwaffe nicht die besten, sondern machte sie bekannt, nachdem sie die deutsche Botschaft im britischen Krieg (940) erobert hatte .  |||  אין אלגעמיין האט דער קעניגלעכער לופטפלאט נישט געהייסן די בעסטע אבער זי האט זיך באקאנט געמאכט נאכדעם וואס זי האט באזיגט די דייטשן ימ"ש אין די קריג פון בריטאניע (940') .
Im Jahr 1918 änderte sie ihren Namen in die Royal Airlift, nachdem sie in den Royal Newel Service involviert war .  |||  אין 1918 האט זי זיך געטוישט איר נאמען צו דער קעניגלעכער לופטפלאט נאכדעם וואס זי האט זיך פאראייניגט מיט די ראיעל נעוועל עיר סערוויס .
) Wurde 1912 gegründet und dann das "Raeling Flighting Corps" genannt .  |||  ) איז געגרינדעט געווארן אין 1912 און האט דעמאלט געהייסן די ראיעל פלייאינג קארפס .
Eph .  |||  עף .
Ey .  |||  עי .
Die königliche Luftbrücke (a .  |||  דער קעניגלעכער לופטפלאט (אר .
Ähnlich wie die Nationalgarde in Amerika .  |||  ענליך צו די נעשאנעל גארד אין אמעריקע .
Dazu gehören die Royal Artillery, die Real Engineers, die Major Signals (Committed for Communications), das Royal Intelligence Corps, die Territorial Army (auch als Miliz oder Volunteer Force bekannt) .  |||  דאס רעכנט אריין די ראיעל ארטילערי, די ראיעל ענדזשינירס, די ראיעל סיגנעלס (זענען געשטעלט פאר קאמיוניקאציע), די ראיעל אינטעליגענץ קארפס, די טעריטאריעל ארמיי (אויך באקאנט אלס די מיליטע אדער וואלונטיר פארס .
Es gibt mehrere kleine Unterstützungsgruppen in der Armee, die Teil der Armee sind, aber es gibt keine Hauptsoldaten .  |||  אין די ארמיי איז פאראן עטליכע קליינע שטיצע גרופעס וואס זענען א טייל פון די ארמיי אבער זענען פארט נישט קייין סאלדאטן .
Großbritannien hat auch eine Fülle von Sonderbefugnissen, die in Afghanistan in der laufenden Kampagne gegen den Terrorismus gut sind .  |||  בריטאניע פארמאגט אויך א שיינע צאל פון ספעציעלע כוחות וועלכע קומען גוט צוניץ אין אפגאניסטאן אין די אנגייענדיגע קריג קעגן טעראריזם .
Heute sind sie in Panzern oder anderen Aufzeichnungen) und Kairo (diejenigen, die die Hubschrauber fahren) .  |||  היינט זענען זיי אין טאנקן אדער אנדערע באשוצטע טראקס), און עיר קארפס (די וואס דרייוון די העליקאפטערס) .
Heute heißt die Army of All Widies: Infanterie (Forced Growth), Cavallerie (früher die Rhythmen auf Pferden) .  |||  היינט באשטייט די ארמיי פון אלע ערליי טרופן ווי: אינפאנטרי (פוס גייענדיגע טרופן), קאוואלרי (אמאל געווען די טרופן וואס האבן געריטן אויף פערד .
